trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.99, 'e': 0.43423132679181164}",20,9,-32.61735720921994,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.99, 'e': 0.4298890135238935}",25,0,-36.960000208815295,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 0.99, 'e': 0.4255901233886546}",20,0,-7.121465190749816,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
87,False,"{'a': 0.99, 'e': 0.421334222154768}",30,0,7.089137072188853,"{0: 25, 1: 4, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.99, 'e': 0.41712087993322033}",20,16,8.10049778423332,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.99, 'e': 0.41294967113388814}",25,0,-90.28081633115352,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
90,False,"{'a': 0.99, 'e': 0.40882017442254925}",30,8,-12.241032844949306,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.99, 'e': 0.4047319726783238}",25,7,9.203627471790618,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.99, 'e': 0.40068465295154054}",20,0,-87.24635372272922,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
93,False,"{'a': 0.99, 'e': 0.3966778064220251}",20,10,-35.4892122045656,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.99, 'e': 0.39271102835780486}",30,0,-37.896793272382574,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
95,False,"{'a': 0.99, 'e': 0.3887839180742268}",25,20,9.437700400204042,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.99, 'e': 0.38489607889348454}",20,0,-31.064540901589158,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
97,False,"{'a': 0.99, 'e': 0.38104711810454966}",25,8,-39.69158996646344,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.99, 'e': 0.37723664692350417}",30,18,-6.440761151583226,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.99, 'e': 0.37346428045426916}",30,6,9.29006984795015,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
100,False,"{'a': 0.99, 'e': 0.36972963764972644}",30,0,-115.44858932849719,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
101,False,"{'a': 0.99, 'e': 0.3660323412732292}",30,5,-67.66029185725931,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",1
102,False,"{'a': 0.99, 'e': 0.3623720178604969}",25,9,-0.38832022720202475,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.99, 'e': 0.3587482976818919}",30,3,-0.280498514495761,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.99, 'e': 0.355160814705073}",25,0,-49.52770726744938,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
105,False,"{'a': 0.99, 'e': 0.35160920655802225}",20,0,17.67945466825841,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.99, 'e': 0.348093114492442}",25,13,20.928502757418737,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.99, 'e': 0.3446121833475176}",20,6,-8.240739193834438,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.99, 'e': 0.34116606151404244}",25,13,-20.652547163107975,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
